Constituency,Code,2020: Number of properties at >1% risk,2020: Number of properties at >0.1% risk,2020: Number of properties at >0.01% risk,2018: Number of properties at >1% risk,2018: Number of properties at >0.1% risk,2018: Number of properties at >0.01% risk,2016: Number of properties at >1% risk,2016: Number of properties at >0.1% risk,2016: Number of properties at >0.01% risk,2020: Percentage of properties at >1% risk,2020: Percentage of properties at >0.1% risk,2020: Percentage of properties at >0.01% risk,2018: Percentage of properties at >1% risk,2018: Percentage of properties at >0.1% risk,2018: Percentage of properties at >0.01% risk,2016: Percentage of properties at >1% risk,2016: Percentage of properties at >0.1% risk,2016: Percentage of properties at >0.01% risk
"Liverpool, Walton Boro Const",E14000794,72,85,91,73,88,94,683,902,1895,0.1%,0.2%,0.2%,0.1%,0.2%,0.2%,1.4%,1.8%,3.8%
"Liverpool, Wavertree Boro Const",E14000795,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
"Liverpool, West Derby Boro Const",E14000796,7,117,117,8,127,127,8,127,127,0.0%,0.3%,0.3%,0.0%,0.3%,0.3%,0.0%,0.3%,0.3%
Loughborough Co Const,E14000797,5289,7515,7515,5302,7604,7604,5304,7604,7604,8.9%,12.7%,12.7%,8.9%,12.8%,12.8%,8.9%,12.8%,12.8%
Louth and Horncastle Co Const,E14000798,10453,25396,25586,10557,25549,25739,10567,25556,25746,13.2%,32.2%,32.4%,13.4%,32.4%,32.6%,13.4%,32.4%,32.6%
Ludlow Co Const,E14000799,2079,2153,2153,2081,2155,2155,2087,2163,2163,2.8%,2.9%,2.9%,2.8%,2.9%,2.9%,2.8%,2.9%,2.9%
Luton North Boro Const,E14000800,640,978,978,640,978,978,641,978,978,1.5%,2.3%,2.3%,1.5%,2.3%,2.3%,1.5%,2.3%,2.3%
Luton South Boro Const,E14000801,457,545,545,457,545,545,468,545,545,0.8%,1.0%,1.0%,0.8%,1.0%,1.0%,0.9%,1.0%,1.0%
Macclesfield Co Const,E14000802,461,920,940,506,822,842,617,964,984,0.8%,1.6%,1.6%,0.9%,1.4%,1.5%,1.1%,1.7%,1.7%
Maidenhead Co Const,E14000803,4087,9213,9471,4101,9248,9520,4102,9249,9521,7.2%,16.2%,16.6%,7.2%,16.3%,16.7%,7.2%,16.3%,16.7%
Maidstone and The Weald Co Const,E14000804,3307,5123,5123,3307,5145,5145,3310,5145,5145,5.5%,8.5%,8.5%,5.5%,8.5%,8.5%,5.5%,8.5%,8.5%
Makerfield Co Const,E14000805,1453,1973,1973,1453,1973,1973,1455,1973,1973,3.0%,4.1%,4.1%,3.0%,4.1%,4.1%,3.0%,4.1%,4.1%
Maldon Co Const,E14000806,1368,5587,6263,1480,7199,8260,1478,7234,8297,2.4%,9.8%,11.0%,2.6%,12.7%,14.5%,2.6%,12.7%,14.6%
Manchester Central Boro Const,E14000807,332,2493,2493,2171,5544,5544,2188,6191,6191,0.4%,3.1%,3.1%,2.7%,6.8%,6.8%,2.7%,7.6%,7.6%
"Manchester, Gorton Boro Const",E14000808,107,1400,1400,121,681,681,121,681,681,0.2%,2.8%,2.8%,0.2%,1.4%,1.4%,0.2%,1.4%,1.4%
"Manchester, Withington Boro Const",E14000809,1142,4349,4389,1397,2155,2158,1397,2155,2158,2.5%,9.4%,9.5%,3.0%,4.7%,4.7%,3.0%,4.7%,4.7%
Mansfield Co Const,E14000810,382,585,585,382,585,585,383,585,585,0.7%,1.0%,1.0%,0.7%,1.0%,1.0%,0.7%,1.0%,1.0%
Meon Valley Co Const,E14000811,1121,1696,1696,1320,1899,1899,1626,2910,2910,1.9%,2.9%,2.9%,2.2%,3.2%,3.2%,2.8%,5.0%,5.0%
Meriden Co Const,E14000812,309,362,362,411,587,587,411,587,587,0.5%,0.6%,0.6%,0.7%,1.0%,1.0%,0.7%,1.0%,1.0%
Mid Bedfordshire Co Const,E14000813,565,901,941,565,901,941,564,901,944,0.9%,1.5%,1.5%,0.9%,1.5%,1.5%,0.9%,1.5%,1.5%
Mid Derbyshire Co Const,E14000814,1731,2884,2897,1731,2884,2897,1730,2884,2897,3.8%,6.3%,6.3%,3.8%,6.3%,6.3%,3.8%,6.3%,6.3%
Mid Dorset and North Poole Co Const,E14000815,396,626,656,396,626,656,395,626,656,0.9%,1.4%,1.5%,0.9%,1.4%,1.5%,0.9%,1.4%,1.5%
Mid Norfolk Co Const,E14000816,450,515,516,450,515,516,682,803,835,0.6%,0.7%,0.7%,0.6%,0.7%,0.7%,1.0%,1.1%,1.2%
Mid Sussex Co Const,E14000817,157,253,269,157,253,269,160,256,272,0.3%,0.4%,0.5%,0.3%,0.4%,0.5%,0.3%,0.4%,0.5%
Mid Worcestershire Co Const,E14000818,2485,3108,3108,2518,3141,3141,2520,3143,3143,3.9%,4.8%,4.8%,3.9%,4.9%,4.9%,3.9%,4.9%,4.9%
Middlesbrough Boro Const,E14000819,781,1553,1553,781,1553,1553,780,1553,1553,1.6%,3.1%,3.1%,1.6%,3.1%,3.1%,1.6%,3.1%,3.1%
Middlesbrough South and East Cleveland Co Const,E14000820,508,775,775,530,797,797,551,797,797,1.0%,1.5%,1.5%,1.1%,1.6%,1.6%,1.1%,1.6%,1.6%
Milton Keynes North Co Const,E14000821,372,1267,1520,372,1267,1520,372,1268,1520,0.6%,1.9%,2.3%,0.6%,1.9%,2.3%,0.6%,1.9%,2.3%
Milton Keynes South Boro Const,E14000822,374,470,470,374,470,470,374,470,470,0.6%,0.7%,0.7%,0.6%,0.7%,0.7%,0.6%,0.7%,0.7%
Mitcham and Morden Boro Const,E14000823,2184,4801,4801,2184,4750,4750,2170,4750,4750,4.7%,10.4%,10.4%,4.7%,10.3%,10.3%,4.7%,10.3%,10.3%
Mole Valley Co Const,E14000824,2071,2746,2746,2159,3064,3064,2152,3075,3075,3.4%,4.5%,4.5%,3.5%,5.0%,5.0%,3.5%,5.0%,5.0%
Morecambe and Lunesdale Co Const,E14000825,1826,10090,10401,1846,10115,10426,1883,10162,10472,3.4%,18.7%,19.2%,3.4%,18.7%,19.3%,3.5%,18.8%,19.4%
Morley and Outwood Co Const,E14000826,130,193,197,130,193,197,130,193,197,0.2%,0.4%,0.4%,0.2%,0.4%,0.4%,0.2%,0.4%,0.4%
New Forest East Co Const,E14000827,2540,3118,3118,2571,3157,3157,2587,3172,3172,4.5%,5.5%,5.5%,4.5%,5.6%,5.6%,4.6%,5.6%,5.6%
New Forest West Co Const,E14000828,1714,2562,2750,1723,2571,2759,1723,2571,2759,3.0%,4.5%,4.9%,3.0%,4.5%,4.9%,3.0%,4.5%,4.9%
Newark Co Const,E14000829,5154,10254,10365,5154,10432,10543,5201,10431,10543,7.6%,15.1%,15.3%,7.6%,15.4%,15.6%,7.7%,15.4%,15.6%
Newbury Co Const,E14000830,1194,3349,3553,1202,3354,3560,1219,3436,3659,1.8%,5.1%,5.4%,1.8%,5.1%,5.4%,1.8%,5.2%,5.5%
Newcastle upon Tyne Central Boro Const,E14000831,6,14,14,6,12,12,7,19,19,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Newcastle upon Tyne East Boro Const,E14000832,69,108,108,69,98,98,69,150,150,0.1%,0.2%,0.2%,0.1%,0.2%,0.2%,0.1%,0.3%,0.3%
Newcastle upon Tyne North Boro Const,E14000833,393,714,714,392,714,714,394,714,714,0.8%,1.5%,1.5%,0.8%,1.5%,1.5%,0.9%,1.5%,1.5%
Newcastle-under-Lyme Boro Const,E14000834,316,339,339,523,609,609,523,609,609,0.7%,0.7%,0.7%,1.1%,1.3%,1.3%,1.1%,1.3%,1.3%
Newton Abbot Co Const,E14000835,4536,6935,7323,4542,6938,7326,4540,6936,7326,8.2%,12.6%,13.3%,8.2%,12.6%,13.3%,8.2%,12.6%,13.3%
"Normanton, Pontefract and Castleford Co Const",E14000836,1615,2553,2560,1656,2594,2601,1779,3284,3291,2.7%,4.2%,4.2%,2.7%,4.3%,4.3%,2.9%,5.4%,5.4%
North Cornwall Co Const,E14000837,1697,2765,2771,1694,2760,2766,1701,2779,2785,2.1%,3.4%,3.4%,2.1%,3.4%,3.4%,2.1%,3.4%,3.4%
North Devon Co Const,E14000838,4417,7496,7901,4441,7337,7642,4443,7337,7642,5.6%,9.6%,10.1%,5.7%,9.4%,9.7%,5.7%,9.4%,9.7%
North Dorset Co Const,E14000839,1655,2325,2472,1655,2325,2472,1655,2325,2473,2.4%,3.3%,3.6%,2.4%,3.3%,3.6%,2.4%,3.3%,3.6%
North Durham Co Const,E14000840,978,1025,1044,978,1026,1045,234,282,301,2.0%,2.1%,2.1%,2.0%,2.1%,2.1%,0.5%,0.6%,0.6%
North East Bedfordshire Co Const,E14000841,1085,1666,1824,1085,1666,1824,1452,2064,2223,1.7%,2.6%,2.8%,1.7%,2.6%,2.8%,2.2%,3.2%,3.4%
North East Cambridgeshire Co Const,E14000842,17934,21420,21423,17936,21420,21423,18150,21827,21830,24.5%,29.3%,29.3%,24.5%,29.3%,29.3%,24.8%,29.8%,29.8%
North East Derbyshire Co Const,E14000843,763,925,925,762,925,925,762,925,925,1.4%,1.7%,1.7%,1.4%,1.7%,1.7%,1.4%,1.7%,1.7%
North East Hampshire Co Const,E14000844,3760,4081,4083,3845,4174,4176,3955,4367,4373,6.6%,7.2%,7.2%,6.8%,7.4%,7.4%,7.0%,7.7%,7.7%
North East Hertfordshire Co Const,E14000845,1184,1776,1821,1209,1792,1818,1295,1867,1893,2.1%,3.1%,3.2%,2.1%,3.1%,3.2%,2.3%,3.3%,3.3%
North East Somerset Co Const,E14000846,910,1110,1121,966,1160,1160,968,1162,1162,1.7%,2.0%,2.1%,1.8%,2.1%,2.1%,1.8%,2.1%,2.1%
North Herefordshire Co Const,E14000847,3017,4226,4580,3017,4226,4580,3217,4645,4999,3.7%,5.2%,5.7%,3.7%,5.2%,5.7%,4.0%,5.8%,6.2%
North Norfolk Co Const,E14000848,1350,4257,4308,1486,4654,4720,1485,4654,4720,1.9%,6.1%,6.2%,2.1%,6.7%,6.8%,2.1%,6.7%,6.8%
North Shropshire Co Const,E14000849,1562,1782,1782,1562,1782,1782,1562,1783,1783,2.0%,2.2%,2.2%,2.0%,2.2%,2.2%,2.0%,2.2%,2.2%
North Somerset Co Const,E14000850,989,13110,14952,979,13093,14936,1019,13138,14982,1.6%,21.1%,24.1%,1.6%,21.1%,24.1%,1.6%,21.2%,24.2%
North Swindon Co Const,E14000851,1384,2006,2069,1384,2006,2069,1382,2006,2069,2.4%,3.5%,3.6%,2.4%,3.5%,3.6%,2.4%,3.5%,3.6%
North Thanet Co Const,E14000852,1648,2172,2172,1676,2356,2356,1672,2356,2356,3.0%,3.9%,3.9%,3.0%,4.3%,4.3%,3.0%,4.3%,4.3%
North Tyneside Boro Const,E14000853,168,386,425,170,413,937,438,992,992,0.3%,0.7%,0.8%,0.3%,0.7%,1.7%,0.8%,1.8%,1.8%
North Warwickshire Co Const,E14000854,1357,1767,1767,1357,1767,1767,1356,1767,1767,2.6%,3.4%,3.4%,2.6%,3.4%,3.4%,2.6%,3.4%,3.4%
North West Cambridgeshire Co Const,E14000855,4835,5334,5392,4843,5349,5407,5200,5895,6013,6.1%,6.8%,6.8%,6.1%,6.8%,6.9%,6.6%,7.5%,7.6%
North West Durham Co Const,E14000856,868,1255,1255,868,1230,1230,876,1244,1244,1.5%,2.2%,2.2%,1.5%,2.1%,2.1%,1.5%,2.1%,2.1%
North West Hampshire Co Const,E14000857,1277,1412,1412,1304,1439,1439,1394,1724,1724,2.1%,2.3%,2.3%,2.1%,2.3%,2.3%,2.3%,2.8%,2.8%
North West Leicestershire Co Const,E14000858,2140,2244,2244,2483,2594,2594,2482,2594,2594,3.7%,3.8%,3.8%,4.2%,4.4%,4.4%,4.2%,4.4%,4.4%
North West Norfolk Co Const,E14000859,10464,19479,23207,10511,19681,23461,10568,19752,23519,15.5%,28.9%,34.5%,15.6%,29.2%,34.8%,15.7%,29.3%,34.9%
North Wiltshire Co Const,E14000860,1133,1891,1891,1130,1901,1901,1146,1918,1921,1.8%,3.0%,3.0%,1.8%,3.0%,3.0%,1.8%,3.0%,3.0%
Northampton North Boro Const,E14000861,56,59,72,56,59,72,56,59,72,0.1%,0.1%,0.2%,0.1%,0.1%,0.2%,0.1%,0.1%,0.2%
Northampton South Boro Const,E14000862,679,2810,4571,680,2819,4625,703,2945,4773,1.3%,5.4%,8.7%,1.3%,5.4%,8.8%,1.3%,5.6%,9.1%
Norwich North Boro Const,E14000863,94,116,160,94,116,160,111,167,261,0.2%,0.2%,0.3%,0.2%,0.2%,0.3%,0.2%,0.3%,0.5%
Norwich South Boro Const,E14000864,96,385,2742,96,386,2742,158,1189,4975,0.1%,0.6%,4.3%,0.1%,0.6%,4.3%,0.2%,1.8%,7.7%
Nottingham East Boro Const,E14000865,131,1068,1102,131,1068,1102,141,1080,1114,0.2%,2.0%,2.1%,0.2%,2.0%,2.1%,0.3%,2.0%,2.1%
Nottingham North Boro Const,E14000866,2324,2510,2510,2332,2519,2519,2515,2754,2754,4.8%,5.1%,5.1%,4.8%,5.2%,5.2%,5.2%,5.6%,5.6%
Nottingham South Boro Const,E14000867,2262,12465,13313,2262,12465,13313,2355,12869,13690,4.0%,21.9%,23.4%,4.0%,21.9%,23.4%,4.1%,22.6%,24.1%
Nuneaton Co Const,E14000868,1731,2393,2393,1731,2393,2393,1733,2393,2393,3.7%,5.1%,5.1%,3.7%,5.1%,5.1%,3.7%,5.1%,5.1%
Old Bexley and Sidcup Boro Const,E14000869,458,501,513,718,791,816,716,791,816,1.1%,1.2%,1.3%,1.8%,1.9%,2.0%,1.8%,1.9%,2.0%
Oldham East and Saddleworth Co Const,E14000870,1244,1772,1798,1235,1763,1789,1234,1763,1789,2.4%,3.4%,3.4%,2.3%,3.4%,3.4%,2.3%,3.4%,3.4%
Oldham West and Royton Boro Const,E14000871,3,28,28,5,29,29,5,29,29,0.0%,0.1%,0.1%,0.0%,0.1%,0.1%,0.0%,0.1%,0.1%
Orpington Boro Const,E14000872,339,636,636,698,1094,1094,698,1094,1094,0.8%,1.4%,1.4%,1.6%,2.5%,2.5%,1.6%,2.5%,2.5%
Oxford East Boro Const,E14000873,2519,3943,3943,2519,3943,3943,2529,3953,3953,3.9%,6.1%,6.1%,3.9%,6.1%,6.1%,3.9%,6.2%,6.2%
Oxford West and Abingdon Co Const,E14000874,2545,3775,3887,2717,4062,4170,2719,4063,4171,4.4%,6.5%,6.7%,4.7%,7.0%,7.2%,4.7%,7.0%,7.2%
Pendle Boro Const,E14000875,1184,2463,2473,1360,2640,2650,1358,2640,2650,2.4%,5.0%,5.0%,2.8%,5.4%,5.4%,2.8%,5.4%,5.4%
Penistone and Stocksbridge Co Const,E14000876,638,1013,1013,637,1013,1013,650,1013,1013,1.3%,2.0%,2.0%,1.3%,2.0%,2.0%,1.3%,2.0%,2.0%
Penrith and The Border Co Const,E14000877,3710,5414,5445,3733,5439,5470,3734,5489,5520,4.4%,6.4%,6.5%,4.4%,6.5%,6.5%,4.4%,6.5%,6.6%
Peterborough Boro Const,E14000878,2824,4360,4521,2855,4481,4657,2846,4477,4653,4.7%,7.3%,7.6%,4.8%,7.5%,7.8%,4.8%,7.5%,7.8%
"Plymouth, Moor View Boro Const",E14000879,80,240,240,80,240,240,80,240,240,0.2%,0.5%,0.5%,0.2%,0.5%,0.5%,0.2%,0.5%,0.5%
"Plymouth, Sutton and Devonport Boro Const",E14000880,223,1443,1582,223,1443,1582,222,1442,1581,0.3%,2.3%,2.5%,0.3%,2.3%,2.5%,0.3%,2.3%,2.5%
Poole Boro Const,E14000881,1273,2187,2223,1273,2190,2226,1273,2192,2228,2.3%,3.9%,4.0%,2.3%,3.9%,4.0%,2.3%,3.9%,4.0%
Poplar and Limehouse Boro Const,E14000882,271,7436,40740,271,7436,40740,271,7559,40740,0.4%,10.2%,55.9%,0.4%,10.2%,55.9%,0.4%,10.4%,55.9%
Portsmouth North Boro Const,E14000883,3862,4685,4685,4285,13071,13071,4283,13071,13071,7.4%,9.0%,9.0%,8.3%,25.2%,25.2%,8.2%,25.2%,25.2%
Portsmouth South Boro Const,E14000884,952,4044,4044,1098,8552,8552,1108,8552,8552,1.6%,7.0%,7.0%,1.9%,14.7%,14.7%,1.9%,14.7%,14.7%
Preston Boro Const,E14000885,1309,2976,2990,1207,2717,2990,1206,2713,2986,2.7%,6.0%,6.1%,2.5%,5.5%,6.1%,2.4%,5.5%,6.1%
Pudsey Boro Const,E14000886,640,688,688,640,688,688,638,688,688,1.3%,1.4%,1.4%,1.3%,1.4%,1.4%,1.3%,1.4%,1.4%
Putney Boro Const,E14000887,740,2271,3696,740,2262,3687,742,2262,3687,1.5%,4.7%,7.6%,1.5%,4.7%,7.6%,1.5%,4.7%,7.6%
Rayleigh and Wickford Co Const,E14000888,366,1178,1262,424,1458,1616,440,1496,1665,0.7%,2.3%,2.5%,0.8%,2.9%,3.2%,0.9%,3.0%,3.3%
Reading East Boro Const,E14000889,3633,5180,5260,4459,7052,7132,4507,7052,7132,6.8%,9.8%,9.9%,8.4%,13.3%,13.4%,8.5%,13.3%,13.4%
Reading West Co Const,E14000890,770,2507,2581,1105,3276,3350,1106,3276,3350,1.5%,5.0%,5.1%,2.2%,6.5%,6.7%,2.2%,6.5%,6.7%
Redcar Boro Const,E14000891,32,253,253,32,253,253,32,253,253,0.1%,0.5%,0.5%,0.1%,0.5%,0.5%,0.1%,0.5%,0.5%
Redditch Co Const,E14000892,683,1289,1289,683,1289,1289,682,1290,1290,1.3%,2.4%,2.4%,1.3%,2.4%,2.4%,1.2%,2.4%,2.4%
Reigate Boro Const,E14000893,1008,1710,1710,1034,1746,1746,1022,1746,1746,1.9%,3.3%,3.3%,2.0%,3.3%,3.3%,1.9%,3.3%,3.3%
Ribble Valley Co Const,E14000894,1934,3077,3235,2005,3303,3467,2222,3736,3908,3.1%,5.0%,5.2%,3.2%,5.3%,5.6%,3.6%,6.0%,6.3%
Richmond (Yorks) Co Const,E14000895,5065,6501,6561,5470,7019,7079,5605,7042,7100,5.9%,7.5%,7.6%,6.4%,8.2%,8.2%,6.5%,8.2%,8.2%
Richmond Park Boro Const,E14000896,1598,2241,14845,1599,2311,14915,1598,2311,14915,2.7%,3.7%,24.8%,2.7%,3.9%,24.9%,2.7%,3.9%,24.9%
Rochdale Co Const,E14000897,1318,1872,1970,1334,1874,1972,1336,1874,1972,2.5%,3.5%,3.7%,2.5%,3.5%,3.7%,2.5%,3.5%,3.7%
Rochester and Strood Co Const,E14000898,2442,6182,6459,2457,6851,7146,2669,7063,7146,4.2%,10.6%,11.1%,4.2%,11.7%,12.3%,4.6%,12.1%,12.3%
Rochford and Southend East Co Const,E14000899,768,5051,5207,787,6141,6372,790,6222,6452,1.4%,8.9%,9.2%,1.4%,10.9%,11.3%,1.4%,11.0%,11.4%
Romford Boro Const,E14000900,306,891,891,522,1596,1596,522,1596,1596,0.6%,1.8%,1.8%,1.1%,3.3%,3.3%,1.1%,3.3%,3.3%
Romsey and Southampton North Co Const,E14000901,1936,2742,2755,2013,2853,2866,2116,2963,2980,3.8%,5.4%,5.4%,3.9%,5.6%,5.6%,4.1%,5.8%,5.8%
Rossendale and Darwen Boro Const,E14000902,2511,3718,3728,2481,3620,3633,2476,3620,3633,4.6%,6.8%,6.8%,4.5%,6.6%,6.6%,4.5%,6.6%,6.6%
Rother Valley Co Const,E14000903,228,267,268,228,267,268,228,267,268,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%
Rotherham Boro Const,E14000904,635,1051,1051,635,1051,1051,635,1051,1051,1.4%,2.3%,2.3%,1.4%,2.3%,2.3%,1.4%,2.3%,2.3%
Rugby Co Const,E14000905,608,1199,1199,609,1200,1200,609,1200,1200,1.1%,2.2%,2.2%,1.1%,2.2%,2.2%,1.1%,2.2%,2.2%
"Ruislip, Northwood and Pinner Boro Const",E14000906,1401,1848,2350,1408,1922,2425,1411,1971,2474,3.0%,3.9%,5.0%,3.0%,4.1%,5.2%,3.0%,4.2%,5.3%
Runnymede and Weybridge Co Const,E14000907,11116,14878,14987,11482,15691,16327,11502,15707,16343,18.9%,25.3%,25.5%,19.5%,26.7%,27.8%,19.6%,26.7%,27.8%
Rushcliffe Co Const,E14000908,1271,12214,12587,1271,12214,12587,1272,12214,12587,2.3%,21.9%,22.5%,2.3%,21.9%,22.5%,2.3%,21.9%,22.5%
Rutland and Melton Co Const,E14000909,1281,2220,2632,1281,2220,2632,1304,2253,2666,1.8%,3.2%,3.7%,1.8%,3.2%,3.7%,1.9%,3.2%,3.8%
Saffron Walden Co Const,E14000910,1240,1395,1399,1243,1397,1401,1253,1407,1409,1.7%,1.9%,1.9%,1.7%,1.9%,1.9%,1.7%,1.9%,1.9%
Salford and Eccles Boro Const,E14000911,1282,9325,9336,1282,9697,9712,1571,9712,9712,2.0%,14.3%,14.3%,2.0%,14.9%,14.9%,2.4%,14.9%,14.9%
Salisbury Co Const,E14000912,2336,4255,4312,1773,3654,3800,1833,3725,3871,3.9%,7.2%,7.3%,3.0%,6.2%,6.4%,3.1%,6.3%,6.5%
Scarborough and Whitby Co Const,E14000913,1362,2088,2088,1360,2088,2088,1371,2109,2124,1.8%,2.8%,2.8%,1.8%,2.8%,2.8%,1.8%,2.8%,2.9%
Scunthorpe Co Const,E14000914,831,1067,1067,831,1067,1067,831,1067,1067,1.7%,2.2%,2.2%,1.7%,2.2%,2.2%,1.7%,2.2%,2.2%
Sedgefield Co Const,E14000915,600,1185,1188,600,1185,1188,606,1185,1188,1.1%,2.3%,2.3%,1.1%,2.3%,2.3%,1.2%,2.3%,2.3%
Sefton Central Co Const,E14000916,222,579,705,223,578,705,223,577,705,0.5%,1.3%,1.6%,0.5%,1.3%,1.6%,0.5%,1.3%,1.6%
Selby and Ainsty Co Const,E14000917,3356,13438,18021,3475,15805,20868,3997,17306,22375,4.8%,19.1%,25.6%,4.9%,22.5%,29.7%,5.7%,24.6%,31.8%
Sevenoaks Co Const,E14000918,915,1108,1175,1050,1417,1484,1052,1417,1484,1.7%,2.1%,2.2%,2.0%,2.6%,2.8%,2.0%,2.6%,2.8%
Sheffield Central Boro Const,E14000919,4738,7745,7745,4746,7745,7745,4745,7745,7745,7.5%,12.2%,12.2%,7.5%,12.2%,12.2%,7.5%,12.2%,12.2%
Sheffield South East Boro Const,E14000920,957,1538,1538,958,1538,1538,956,1538,1538,2.0%,3.2%,3.2%,2.0%,3.2%,3.2%,2.0%,3.2%,3.2%
"Sheffield, Brightside and Hillsborough Boro Const",E14000921,912,1574,1574,912,1574,1574,914,1574,1574,1.8%,3.1%,3.1%,1.8%,3.1%,3.1%,1.8%,3.1%,3.1%
"Sheffield, Hallam Co Const",E14000922,179,291,291,176,291,291,177,291,291,0.4%,0.6%,0.6%,0.4%,0.6%,0.6%,0.4%,0.6%,0.6%
"Sheffield, Heeley Boro Const",E14000923,376,384,384,373,384,384,376,434,434,0.8%,0.8%,0.8%,0.8%,0.8%,0.8%,0.8%,0.9%,0.9%
Sherwood Co Const,E14000924,1174,1305,1305,1195,1326,1326,1199,1327,1327,2.1%,2.3%,2.3%,2.1%,2.3%,2.3%,2.1%,2.3%,2.3%
Shipley Co Const,E14000925,1726,2075,2075,1726,2075,2075,1735,2075,2075,3.3%,3.9%,3.9%,3.3%,3.9%,3.9%,3.3%,3.9%,3.9%
Shrewsbury and Atcham Co Const,E14000926,2412,3051,3165,2412,3052,3166,2494,3149,3263,3.6%,4.5%,4.7%,3.6%,4.5%,4.7%,3.7%,4.7%,4.9%
